title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr_rev,director_tr_rev,production_company_tr_roi,English,title_length,rel_month,rel_year
Miss Congeniality,Comedy,True,45.0,212.0,4.0,6.1,9.510762,111.0,17,31,1630.875411,48.20922999999999,1.7742016425702811,True,16,December,2000
What Women Want,Comedy,False,70.0,374.111707,4.0,6.1,9.963079,127.0,110,95,3949.1624219999994,0.0,3.4276074567626775,True,13,December,2000
"Dude, Where’s My Car?",Comedy,False,13.0,73.180723,2.0,5.3,10.890236,83.0,15,122,447.52272700000003,0.0,3.7123317280274692,True,18,December,2000
Battle Royale,Drama,True,4.5,25.0,6.0,7.3,12.701098,114.0,92,13,34.32768,0.0,1.0,False,12,December,2000
Finding Forrester,Drama,False,43.0,80.049764,4.0,7.0,10.536255,136.0,14,10,2782.799244,289.088431,3.2182484242424247,True,16,December,2000
The Gift,Horror,False,10.0,12.008642,2.0,6.4,7.886926,111.0,16,59,1605.051864,102.75400600000002,0.000996242774566483,True,7,December,2000
Cast Away,Adventure,False,90.0,429.632142,4.0,7.5,21.296343,143.0,14,13,5320.298959000001,2539.2815910000004,2.85120658816568,True,8,December,2000
Dracula 2000,Thriller,True,28.0,33.000337,3.0,4.6,6.0007160000000015,99.0,13,29,501.155136,0.0,1.0,True,11,December,2000
Thirteen Days,Drama,False,80.0,34.566746,2.0,6.9,10.204559,145.0,6,36,2489.9087400000003,534.7047370000001,2.621996742273645,True,12,December,2000
Traffic,Thriller,False,48.0,207.515725,5.0,6.9,8.338222,147.0,29,25,1822.324644,337.20995600000003,1.0,True,7,December,2000
Happy Times,Drama,False,1.9,0.240093,,6.4,0.653271,102.0,7,4,0.0,0.0,1.0,False,10,December,2000
The Pledge,Crime,False,35.0,29.4,5.0,6.6,12.806634,123.0,16,17,1765.2219919999998,0.19112499999999955,1.0,True,9,January,2001
Antitrust,Action,False,30.0,18.19561,4.0,5.8,8.142166,108.0,20,21,619.718842,58.0,1.0,True,9,January,2001
Save the Last Dance,Drama,True,13.0,91.038276,2.0,6.3,4.794088,112.0,21,21,53.47816599999999,37.61964900000001,4.176606666666667,True,16,January,2001
Donnie Darko,Fantasy,True,6.0,1.270522,4.0,7.7,18.303148,113.0,28,35,959.757136,0.0,1.0,True,11,January,2001
The Accidental Spy,Action,False,25.697387,3.849941,,5.9,3.136813,87.0,12,8,493.50042,0.0,1.0,False,16,January,2001
Super Troopers,Comedy,True,3.0,18.492362,2.0,6.6,7.351027999999999,100.0,16,6,0.0,0.0,0.29049471794871795,True,13,January,2001
The Believer,Drama,False,1.5,0.416925,2.0,6.8,8.128105999999999,98.0,33,20,26.337436,0.0,1.0,True,11,January,2001
Avalon,Action,False,8.0,8.826094,5.0,6.8,5.019679,107.0,12,10,0.0,2.2877139999999994,0.90454425,False,6,January,2001
Sugar & Spice,Crime,False,11.0,13.276953,1.0,5.7,7.715908,81.0,12,2,9.902115,0.0,2.516591186371335,True,11,January,2001
The Wedding Planner,Comedy,False,35.0,94.728529,6.0,5.4,8.056016,103.0,17,17,961.409001,0.0,2.918012288338302,True,17,January,2001
Recess: School's Out,Science Fiction,True,10.0,44.46085,2.0,6.6,4.1956940000000005,83.0,10,3,0.0,0.0,1.0,True,18,January,2001
Brotherhood of the Wolf,Adventure,False,29.0,70.752904,6.0,6.6,11.564252,137.0,21,45,0.26666500000000326,0.0,0.4466018545454548,False,20,January,2001
Head Over Heels,Comedy,False,14.0,10.42447,1.0,5.3,5.5949870000000015,86.0,20,4,164.573896,0.6260569999999994,3.6359935546548248,True,13,February,2001
Would I Lie to You? 2,Comedy,True,12.56,42.7,5.0,6.4,4.0529910000000005,105.0,53,6,29.456000000000003,29.456000000000003,1.0,False,16,February,2001
Hannibal,Crime,True,87.0,351.692268,4.0,6.4,2.48875,131.0,30,68,3003.94013,778.4062739999999,3.3761427015582015,True,8,February,2001
Saving Silverman,Comedy,False,22.0,19.351569,3.0,5.4,8.526823,90.0,13,8,258.054025,276.92523300000005,2.017591930018416,True,15,February,2001
The Tailor of Panama,Drama,False,21.0,28.008462,2.0,6.2,6.226933,109.0,14,35,3169.374745,140.72013199999998,1.7633929391195087,True,17,February,2001
Sweet November,Drama,False,40.0,65.754228,2.0,6.4,14.840318,119.0,15,20,1633.191056,5.926128000000006,1.1399990060975609,True,13,February,2001
3000 Miles to Graceland,Action,False,62.0,18.720175,3.0,5.8,4.764480000000002,125.0,13,15,3917.0034010000004,0.0,0.9323286164298948,True,20,February,2001
Monkeybone,Adventure,False,75.0,5.409517,3.0,4.2,8.893957,93.0,100,31,888.6088209999999,104.55567299999998,3.719632624273406,True,10,February,2001
The Mexican,Action,False,57.0,147.845033,4.0,5.8,9.958406,123.0,14,10,4359.946061,122.41738900000001,3.036258512299465,True,10,March,2001
15 Minutes,Action,False,60.0,56.35998000000001,4.0,5.7,12.149946,120.0,86,338,2383.192341,23.646952,2.5079810141146446,True,9,March,2001
Moulin Rouge!,Drama,False,52.5,179.213434,2.0,7.4,13.691781,127.0,100,19,1860.4566200000002,181.24498500000004,10.158535241379312,True,12,March,2001
Exit Wounds,Action,False,50.0,79.95859899999998,3.0,5.3,12.280827,101.0,27,70,695.830329,91.03676,1.9732813929203539,True,10,March,2001
Enemy at the Gates,War,False,68.0,96.97627,8.0,7.2,10.704813,131.0,17,77,1160.414441,402.159262,3.4529922316585235,True,15,March,2001
Spy Kids,Action,True,35.0,147.93418,3.0,5.5,9.576745,88.0,16,55,535.398741,93.56630200000001,2.1331962017016504,True,7,March,2001
Tomcats,Comedy,False,11.0,23.430766,2.0,4.9,4.63422,95.0,9,7,36.788269,0.0,1.7595018868319583,True,7,March,2001
Blow,Crime,False,53.0,83.282296,1.0,7.4,12.332223,124.0,34,39,697.327592,84.784222,2.453673879238468,True,4,April,2001
Along Came a Spider,Crime,True,60.0,105.17856100000002,6.0,6.1,13.214068,104.0,11,27,1482.939655,45.51342000000001,3.4272484879557257,True,16,April,2001
Joe Dirt,Mystery,True,17.7,30.987695,2.0,5.5,10.442468,91.0,19,7,436.08251900000005,0.0,1.7612514564811443,True,7,April,2001
Crocodile Dundee in Los Angeles,Adventure,True,21.15,39.438674,3.0,4.7,6.640385,92.0,19,14,1155.6994519999998,186.275113,1.0,True,27,April,2001
The Other Side of Heaven,Action,False,7.0,4.720371,1.0,6.7,1.782377,113.0,4,2,0.0,0.0,1.0,True,20,April,2001
Bridget Jones's Diary,Comedy,True,25.0,281.929795,5.0,6.6,10.780524,97.0,23,96,1315.112381,0.0,3.9329319159308636,True,19,April,2001
The Devil's Backbone,Fantasy,False,4.5,6.45902,5.0,7.2,11.111299,106.0,13,12,72.597642,25.48049,1.0,False,18,April,2001
Amélie,Comedy,False,10.0,173.921954,9.0,7.8,12.879381,122.0,55,80,0.0,165.53279799999999,1.0,False,6,April,2001
Town & Country,Comedy,False,90.0,10.372291,1.0,4.1,1.901065,104.0,10,3,1384.2829190000002,0.0,2.4274923595461586,True,12,April,2001
Driven,Action,False,94.0,54.744738,4.0,4.5,5.310558,116.0,17,9,241.98267700000002,761.4317090000001,0.8399999999999997,True,6,April,2001
The Mummy Returns,Adventure,True,98.0,433.013274,3.0,6.0,16.945657,130.0,19,11,1670.8288539999999,427.08851400000003,3.372584738688887,True,15,April,2001
Down,Action,False,15.0,0.163169,1.0,4.1,1.158196,111.0,13,33,16.424487,0.0,0.0,True,4,May,2001
A Knight's Tale,Adventure,False,65.0,117.487473,4.0,6.6,10.90061,132.0,16,95,295.97282400000006,161.62612099999993,2.9135005989649394,True,13,May,2001
The Piano Teacher,Drama,False,3.0,9.801375,5.0,7.2,6.363081,131.0,15,7,1.9424229999999998,0.09524200000000071,1.0,False,15,May,2001
Angel Eyes,Drama,False,53.0,29.7,5.0,5.5,5.3962,102.0,27,21,681.868025,186.51490600000002,0.6522847906976743,True,9,May,2001
Shrek,Adventure,True,60.0,484.409218,3.0,7.3,17.987728,90.0,29,76,4637.700836,0.0,3.010833409274194,True,5,May,2001
Mulholland Drive,Thriller,False,15.0,20.117339,5.0,7.7,18.184056,147.0,71,17,4.227664000000001,94.88408100000001,1.0,True,15,May,2001
Human Nature,Drama,False,6.0,0.705308,6.0,6.1,7.714094,96.0,10,15,405.253648,0.0,0.988068775276107,True,11,May,2001
Pearl Harbor,Other,False,140.0,449.220945,2.0,6.6,11.419388,183.0,101,114,1066.788227,1030.2692109999998,3.135410020454546,True,11,May,2001
Metropolis,Animation,False,14.5,95.789342,12.0,6.8,9.298092,108.0,38,8,0.0,0.0,0.9613206785714284,False,10,May,2001
The Animal,Action,False,22.0,84.77274200000002,2.0,4.6,8.473369,84.0,14,97,71.68928199999999,0.0,1.0,True,9,June,2001
Atlantis: The Lost Empire,Animation,True,120.0,186.053725,2.0,6.7,10.901602,95.0,15,68,1648.551775,477.4894039999999,2.9292180811566455,True,22,June,2001
Swordfish,Action,False,102.0,147.080413,5.0,6.1,9.646208,99.0,53,10,2655.9357419999997,239.59753000000003,1.942865993495935,True,9,June,2001
Evolution,Action,False,80.0,98.376292,3.0,5.7,5.395127,101.0,20,173,1101.970788,1278.4792810000001,3.2995779087452473,True,9,June,2001
Y Tu Mamá También,Drama,False,5.0,33.616692,3.0,7.3,13.962548000000002,106.0,20,15,21.220477000000002,55.494066000000004,1.0,False,14,June,2001
Lara Croft: Tomb Raider,Adventure,True,115.0,274.70334,7.0,5.7,15.851722,100.0,23,41,1418.864829,373.71808599999997,3.408692926543955,True,20,June,2001
Lagaan: Once Upon a Time in India,Adventure,False,5.2,8.1,1.0,7.2,4.97451,224.0,32,28,14.528971999999998,0.0,1.0,False,27,June,2001
The Fast and the Furious,Action,True,38.0,207.283925,4.0,6.6,1.406181,106.0,30,141,626.537454,373.00076700000005,3.3944802605563607,True,20,June,2001
Dr. Dolittle 2,Comedy,True,70.0,176.104344,3.0,4.9,7.906683,87.0,48,74,3134.457581,59.827327999999994,3.615300511947847,True,12,June,2001
Baby Boy,Crime,False,16.0,29.381649,2.0,7.3,9.503157,130.0,11,7,0.0,243.63742499999998,1.7611720309917231,True,7,June,2001
Crazy/Beautiful,Drama,False,13.0,16.929123,2.0,6.6,6.236729,99.0,15,22,680.075118,0.0,3.1631430407559202,True,15,June,2001
A.I. Artificial Intelligence,Drama,False,100.0,235.926552,4.0,6.8,13.249364000000002,146.0,23,146,146.24217800000002,5408.413717,3.153297042402827,True,26,June,2001
Jeepers Creepers,Horror,True,10.0,59.217789,5.0,6.1,10.414363,90.0,16,87,0.0,0.0,4.462403210621235,True,15,July,2001
Final Fantasy: The Spirits Within,Adventure,True,137.0,85.13183000000002,3.0,5.9,10.223851,106.0,9,44,1487.9712299999999,0.0,1.761680966059537,True,29,July,2001
Scary Movie 2,Comedy,True,45.0,141.220678,4.0,5.4,10.869056,83.0,16,127,295.27248499999996,307.412189,14.63261952631579,True,11,July,2001
Cats & Dogs,Comedy,True,60.0,93.375151,6.0,5.0,8.142251,87.0,8,10,2638.677933,0.0,1.871608087866109,True,9,July,2001
Kiss of the Dragon,Action,False,25.0,64.43784699999999,6.0,6.4,7.637345,98.0,16,17,482.477327,0.0,3.593821449947889,True,15,July,2001
Made,Action,False,5.0,5.47606,1.0,6.3,3.531682,94.0,13,5,182.957592,0.0,4.694024983755685,True,4,July,2001
Legally Blonde,Comedy,True,18.0,141.774679,2.0,6.2,12.769371,96.0,21,24,220.508848,0.0,1.0,True,13,July,2001
The Score,Action,False,68.0,71.069884,3.0,6.7,14.741992000000002,124.0,24,13,3064.9072690000003,144.49748,3.3874774619182357,True,8,July,2001
Jurassic Park III,Adventure,True,93.0,368.780809,2.0,5.7,0.648867,92.0,15,117,1818.9107310000002,561.192109,3.1911678995474824,True,15,July,2001
Spirited Away,Fantasy,False,15.0,274.925095,1.0,8.3,41.048867,125.0,15,25,0.0,180.849603,2.6337462318840563,False,12,July,2001
Jason X,Horror,True,11.0,16.951798,3.0,4.5,7.793873,91.0,11,9,49.10806600000001,1.7388970000000015,2.3165688025862368,True,6,July,2001
Dil Chahta Hai,Drama,False,2.079,4.099,1.0,7.1,4.558793,183.0,10,4,22.628972,0.0,1.0,True,12,July,2001
Planet of the Apes,Thriller,False,100.0,362.21174,3.0,5.6,17.319836,119.0,23,20,616.7121870000001,1171.946228,3.586780062823759,True,15,July,2001
Wet Hot American Summer,Comedy,False,5.0,0.295206,1.0,6.4,6.386082,97.0,53,19,49.315203000000004,0.0,0.22940750000000001,True,20,July,2001
Rat Race,Adventure,False,48.0,85.49853399999998,3.0,6.0,12.330275,112.0,20,14,1643.380952,653.0587750000001,3.3590186640109767,True,7,July,2001
The Cat's Meow,Drama,False,7.0,3.646994,3.0,6.0,13.546984,114.0,6,8,764.100087,75.313148,1.6822453710247354,True,12,August,2001
Rush Hour 2,Action,True,90.0,347.325802,1.0,6.4,8.345985,90.0,16,10,983.478879,244.386864,2.3120483603017354,True,9,August,2001
The Princess Diaries,Comedy,True,37.0,165.335153,3.0,6.5,7.387171,115.0,85,10,575.1719680000001,916.516527,2.858699877116184,True,18,August,2001
Original Sin,Thriller,False,42.0,35.40232,7.0,5.8,9.970359,118.0,10,11,1358.554206,0.2398939999999996,1.0,True,11,August,2001
Osmosis Jones,Adventure,False,75.0,13.596911,3.0,6.0,6.405831,95.0,8,65,585.6913850000001,544.179084,1.0,True,12,August,2001
American Pie 2,Comedy,True,30.0,287.5535950000001,3.0,6.0,10.25103,108.0,89,109,800.007222,0.0,3.411070289632652,True,12,August,2001
Session 9,Horror,False,1.5,0.373967,3.0,6.2,14.242234,100.0,9,31,13.668177,0.6885100000000002,0.8023766666666666,True,8,August,2001
Captain Corelli's Mandolin,Drama,False,57.0,62.112895,2.0,5.6,9.243715,131.0,14,12,1932.8914379999999,289.317794,4.2116800007734225,True,24,August,2001
American Outlaws,Action,False,35.0,13.678913,1.0,5.7,10.855383,94.0,15,11,70.91603900000001,382.693587,1.926635756097561,True,15,August,2001
Summer Catch,Drama,False,34.0,19.693891,2.0,4.8,5.499867,108.0,9,2,327.10242999999997,0.0,1.0,True,11,August,2001
Jay and Silent Bob Strike Back,Comedy,False,22.0,33.788160999999995,3.0,6.4,11.619446,104.0,29,117,1450.178591,47.947853,2.775935743793983,True,25,August,2001
Ghosts of Mars,Action,False,28.0,14.010832,3.0,4.8,7.058599000000001,98.0,21,24,577.7033220000001,314.970595,0.0,True,12,August,2001
Rock Star,Music,False,57.0,16.991902,5.0,6.0,10.076223,105.0,16,10,1045.245193,610.458967,1.2387944362745096,True,8,September,2001
Hearts in Atlantis,Drama,False,31.0,24.185781,3.0,6.5,6.425321,101.0,14,7,1585.006685,0.0,1.8472563063063063,True,16,September,2001
Knockaround Guys,Crime,False,15.0,12.0,1.0,5.9,6.557426,92.0,32,5,145.52486,0.0,1.0,True,15,September,2001
The Musketeer,Action,False,40.0,27.053815000000004,8.0,5.2,4.260945,104.0,15,116,136.902136,500.7781520000001,1.0,True,12,September,2001
The Glass House,Drama,False,30.0,23.619609,1.0,5.4,6.418936,106.0,19,49,631.0650730000001,0.0,3.967927035714285,True,13,September,2001
Hardball,Comedy,False,32.0,40.222729,4.0,6.3,7.674549000000002,106.0,21,11,1884.960033,12.372410000000002,3.3456020361096543,True,8,September,2001
Glitter,Drama,False,22.0,5.2716660000000015,5.0,3.4,5.420686,104.0,9,12,0.0,0.0,3.5877329791472135,True,7,September,2001
Don't Say a Word,Thriller,False,50.0,100.020092,7.0,6.0,6.824871000000001,113.0,16,107,2270.957084,61.057638999999995,1.8063167462871286,True,13,September,2001
Zoolander,Comedy,True,28.0,60.780981,9.0,6.1,10.40782,89.0,104,95,1139.853296,122.90564599999999,3.3338284352097367,True,9,September,2001
The Royal Tenenbaums,Comedy,False,21.0,71.44125,1.0,7.4,9.707542,110.0,14,35,3111.451157,17.656121999999996,3.136004004936056,True,18,October,2001
Serendipity,Comedy,False,28.0,77.516304,3.0,6.6,5.715737,90.0,19,27,1008.126892,10.372291000000004,3.9630322350380873,True,11,October,2001
Joy Ride,Mystery,True,23.0,36.642838,5.0,6.3,10.337689,97.0,28,15,293.55008300000003,24.921898,1.7331490762942778,True,7,October,2001
Max Keeble's Big Move,Comedy,False,12.0,17.292381,2.0,5.4,2.828884,86.0,27,4,79.082515,16.290976,2.883692460144794,True,18,October,2001
Training Day,Action,False,45.0,104.876233,5.0,7.3,13.664622,122.0,14,20,2368.939445,19.204929000000007,1.8176270664335663,True,11,October,2001
Corky Romano,Action,False,11.0,23.978402,2.0,4.1,4.890067,86.0,15,3,83.856208,0.0,1.0,True,11,October,2001
Bandits,Action,False,75.0,67.63190300000001,7.0,6.2,13.136791,123.0,10,104,4210.463463,1114.054183,1.0,True,7,October,2001
All The Queen's Men,Action,False,15.0,0.023,,6.1,1.652275,99.0,9,2,139.806417,0.0,1.0,True,16,October,2001
The Last Castle,Action,False,72.0,27.642707,1.0,7.0,9.807552,131.0,11,15,1556.468538,0.0,3.088846431818182,True,13,October,2001
Riding in Cars with Boys,Comedy,False,48.0,35.743308,1.0,6.5,4.556123,132.0,17,6,1618.068901,383.64956899999993,1.6992074737997573,True,20,October,2001
From Hell,Horror,False,35.0,74.558115,2.0,6.6,7.790139999999999,122.0,26,65,1298.697001,27.89999999999999,3.567987180519248,True,8,October,2001
K-PAX,Drama,False,48.0,50.31514,4.0,7.1,12.400152,120.0,30,58,1457.5123669999998,7.563727999999998,0.8580973571428574,True,5,October,2001
Bones,Action,False,10.0,7.316658,1.0,4.3,6.513545,96.0,9,7,61.556792999999985,50.448847,2.3824760098832374,True,5,October,2001
Domestic Disturbance,Mystery,False,75.0,54.24929399999999,1.0,5.4,6.353996,89.0,9,8,2701.984888,193.925892,3.328119884813033,True,19,October,2001
Shallow Hal,Comedy,False,40.0,141.06986,1.0,5.7,12.520688,114.0,19,14,1103.680456,557.775995,3.5546227851564733,True,10,November,2001
"Monsters, Inc.",Animation,True,115.0,562.816256,2.0,7.5,26.419962,92.0,53,242,1517.801873,0.0,2.8764648138057307,True,13,November,2001
The One,Action,False,49.0,72.7,4.0,5.7,9.769047,87.0,19,77,304.341462,53.30231400000001,1.6812291944262023,True,6,November,2001
Gosford Park,Drama,False,19.8,87.754044,1.0,6.8,14.101101000000002,137.0,30,21,463.920878,132.478277,4.323244270833333,True,11,November,2001
Monster's Ball,Drama,False,4.0,44.909486,2.0,6.6,6.3411870000000015,111.0,18,21,1472.24275,0.0,1.3631526063829789,True,13,November,2001
Harry Potter and the Philosopher's Stone,Adventure,True,125.0,976.47555,3.0,7.5,38.187238,152.0,58,134,0.0,1496.522716,1.0,True,35,November,2001
The Wash,Action,False,7.0,10.229331,1.0,5.3,2.483032,93.0,9,2,7.3166579999999986,9.000000000000002,1.0,True,7,November,2001
Frailty,Drama,False,11.0,13.110448000000002,3.0,7.0,7.397953,100.0,13,12,1948.4717879999998,0.0,1.0,True,7,November,2001
Behind Enemy Lines,Action,True,40.0,91.753202,2.0,6.0,11.185625,106.0,19,52,2095.411283,0.0,3.554329762026697,True,16,November,2001
Spy Game,Action,False,92.0,143.04956,6.0,6.8,18.18683900000001,126.0,14,32,3303.1986070000003,1334.796204,3.4500698604052076,True,7,November,2001
Out Cold,Comedy,False,24.0,14.782676,4.0,5.8,4.1975440000000015,89.0,11,5,25.757148,0.0,2.3063353974025973,True,7,November,2001
Novocaine,Comedy,False,6.0,2.0252380000000003,1.0,6.0,3.916221,95.0,37,21,1735.1332650000004,0.0,1.0,True,9,November,2001
Ocean's Eleven,Thriller,True,85.0,450.71715,6.0,7.2,12.114932,116.0,23,121,3884.9075380000004,544.7256809999999,1.8431896522702103,True,13,December,2001
Not Another Teen Movie,Comedy,False,16.0,66.46833199999999,3.0,5.5,9.101896,89.0,96,29,9.249285,0.0,2.322785620689655,True,19,December,2001
Vanilla Sky,Drama,False,68.0,203.388341,3.0,6.5,10.071057,136.0,14,15,5850.624243,359.445868,3.294319538410404,True,10,December,2001
Ali,Drama,False,107.0,87.713825,1.0,6.7,9.303104,157.0,56,32,3333.6316229999998,339.815272,2.87135129881551,True,3,December,2001
A Beautiful Mind,Drama,False,60.0,313.542341,3.0,7.7,11.93646,135.0,38,60,1272.026279,1696.433886,2.323235948350535,True,14,December,2001
Winged Migration,Documentary,False,35.866397,20.21708,14.0,7.1,3.68993,98.0,2,6,11.990401000000002,0.0,1.5368920526315788,False,15,December,2001
The Lord of the Rings: The Fellowship of the Ring,Adventure,True,93.0,871.368364,3.0,8.0,32.070725,178.0,26,30,880.4300300000001,32.65097400000002,0.8281645149827361,True,40,December,2001
How High,Comedy,False,12.0,31.155435,3.0,6.4,6.796277000000001,93.0,10,70,73.345029,0.0,3.4140555449414878,True,7,December,2001
Jimmy Neutron: Boy Genius,Action,False,25.0,80.93623199999998,3.0,5.6,7.3081619999999985,83.0,23,18,0.0,0.0,1.0,True,22,December,2001
The Majestic,Drama,False,72.0,37.317558,4.0,6.6,8.063684,152.0,17,28,2558.5391729999997,312.94146900000004,2.140807091093117,True,11,December,2001
I Am Sam,Drama,False,22.0,92.542418,1.0,7.2,12.935016,132.0,38,42,1744.587145,0.0,2.3528549861975927,True,6,December,2001
Black Hawk Down,Action,False,92.0,172.989651,3.0,7.2,10.064446,144.0,34,156,1723.4948279999999,1130.098542,3.1531057827586206,True,13,December,2001
Salton Sea,Crime,False,18.0,0.6766979999999999,3.0,7.0,12.106615,103.0,36,74,1708.416993,0.0,2.122614607638889,True,9,January,2002
D-Tox,Action,False,55.0,6.416302,1.0,5.4,13.374415,96.0,12,15,3580.414896,125.58613400000002,3.4120335828178194,True,5,January,2002
Secretary,Comedy,False,4.0,9.304609,2.0,6.8,10.936827,104.0,9,10,229.036383,0.0,1.0,True,9,January,2002
The Good Girl,Drama,False,8.0,16.856123999999998,3.0,6.1,4.388338,93.0,20,19,154.04441000000003,0.0,0.4812490125,True,11,January,2002
Narc,Action,False,6.5,12.633747,3.0,6.8,5.20644,105.0,12,11,407.327849,0.013673999999999964,3.290792512843537,True,4,January,2002
The Count of Monte Cristo,Action,False,35.0,75.395048,4.0,7.3,10.765924,131.0,10,6,547.606864,660.733278,2.207143775061125,True,21,January,2002
The Mothman Prophecies,Drama,False,32.0,55.157539,1.0,6.1,8.50563,119.0,33,19,2475.943001,0.08617499999999723,0.1253348911917099,True,20,January,2002
A Walk to Remember,Drama,False,11.0,41.227069,4.0,7.5,8.054499,101.0,31,14,9.902115000000002,94.72852900000001,0.0,True,15,January,2002
Slackers,Comedy,False,14.0,6.413915,2.0,5.4,8.559189,86.0,12,3,74.55059700000001,0.0,0.5638995833333333,True,8,February,2002
Atanarjuat: The Fast Runner,Fantasy,False,1.934,3.786801,1.0,6.3,1.135061,172.0,15,6,0.0,0.0,1.0,True,24,February,2002
City of God,Drama,False,3.3,30.64177,7.0,8.2,14.959270000000002,130.0,27,35,0.0,0.0,1.0,False,9,February,2002
Collateral Damage,Action,False,85.0,78.38243299999998,4.0,5.5,10.175503,108.0,21,151,3409.6175000000003,759.179732,1.0,True,16,February,2002
Big Fat Liar,Comedy,False,15.0,52.970014,1.0,5.6,4.643981,88.0,19,7,173.95943799999995,0.0,3.375107403882894,True,10,February,2002
Queen of the Damned,Drama,True,35.0,45.47911,5.0,5.5,8.436243,101.0,12,14,91.33896400000002,14.011454,2.030599022641509,True,16,February,2002
Return to Never Land,Adventure,True,20.0,109.862682,5.0,6.1,8.759774,72.0,12,9,0.0,0.0,2.930372272787289,True,17,February,2002
Crossroads,Action,False,12.0,61.14103000000001,2.0,4.7,6.631355999999999,93.0,32,129,17.200925000000005,61.902532,3.289296794450365,True,10,February,2002
Hart's War,Drama,False,70.0,32.287044,4.0,5.9,14.116473999999998,125.0,20,20,3604.2932960000003,195.95471700000002,1.2272061294117644,True,9,February,2002
John Q,Drama,False,36.0,102.24477,3.0,7.0,8.867562,116.0,15,118,2425.9538119999997,0.0,2.37297235093743,True,5,February,2002
Dragonfly,Drama,False,60.0,52.3224,6.0,6.2,4.924078,104.0,23,67,2444.664076,740.990258,3.3755833839927343,True,9,February,2002
My Big Fat Greek Wedding,Comedy,True,5.0,368.744044,5.0,6.2,6.7199490000000015,95.0,16,9,0.0,0.0,0.0,True,20,February,2002
We Were Soldiers,Action,False,75.0,114.660784,3.0,6.7,11.34706,138.0,54,132,4167.057858,0.0,2.9076239999999998,True,14,March,2002
The Time Machine,Science Fiction,False,80.0,123.729176,2.0,5.8,8.918134,96.0,27,19,640.874151,20.665345000000002,2.939495023773006,True,14,March,2002
All About the Benjamins,Action,False,14.0,25.482931,1.0,5.9,3.909079,95.0,7,1,467.29933600000004,0.0,2.381124106859388,True,20,March,2002
Ice Age,Animation,True,59.0,383.257136,3.0,7.1,17.328902,81.0,18,58,685.6057810000001,0.0,3.5412177762105412,True,6,March,2002
Talk to Her,Drama,False,9.285469,51.00155,4.0,7.5,6.648278,112.0,18,12,0.6467140000000029,79.00389399999997,1.0,False,9,March,2002
Showtime,Action,False,85.0,77.741732,6.0,5.3,4.917863,95.0,7,20,5364.415677,56.932305,2.0072274648401827,True,8,March,2002
Resident Evil,Horror,True,33.0,102.984862,4.0,6.4,7.781292999999999,100.0,22,103,298.63594900000004,163.437045,0.19423843999999993,True,12,March,2002
Clockstoppers,Adventure,False,26.0,38.793283,3.0,4.9,5.373623,94.0,12,62,98.013657,268.0,3.2929906762357146,True,13,March,2002
Blade II,Fantasy,True,54.0,155.010032,8.0,6.3,17.050639999999998,117.0,48,167,1434.061443,31.939510000000013,2.3773434207073856,True,7,March,2002
The Rookie,Drama,False,20.0,75.597042,3.0,6.5,10.991137,127.0,9,2,654.270722,0.0,2.950368562395149,True,9,March,2002
Panic Room,Crime,False,48.0,196.397415,2.0,6.6,14.969502,111.0,16,67,1019.00926,697.362805,1.0,True,9,March,2002
Sympathy for Mr. Vengeance,Action,True,4.0,1.954937,2.0,7.3,6.314697,121.0,8,14,0.0,0.0,1.0,False,23,March,2002
National Lampoon’s Van Wilder,Comedy,True,5.0,38.275483,2.0,5.9,7.668576,92.0,13,10,154.030214,0.0,1.9,True,26,March,2002
Barbershop,Comedy,True,12.0,75.781642,1.0,6.2,6.498789,102.0,12,12,582.2259379999999,0.0,1.6900807718940876,True,10,April,2002
High Crimes,Drama,False,42.0,63.78181,6.0,6.1,8.371005,115.0,36,14,2139.6497200000003,17.683934,3.5858669293799297,True,10,April,2002
Big Trouble,Action,False,40.0,8.493889999999999,1.0,6.3,5.761051,85.0,33,6,1824.4477510000002,1178.164581,3.1013362397230635,True,10,April,2002
Changing Lanes,Action,False,45.0,94.935764,1.0,5.9,7.81862,89.0,11,8,2839.6036409999997,363.889678,3.2850439716286997,True,13,April,2002
Bend It Like Beckham,Comedy,False,3.500159,76.578641,4.0,6.2,6.262677,112.0,13,22,1.0537879999999973,0.0,0.5586664642857142,True,17,April,2002
The Sweetest Thing,Romance,False,43.0,68.69677,1.0,5.3,8.889064,84.0,12,57,2260.690333,75.90220799999999,3.222273830188679,True,16,April,2002
Company,Action,False,1.5,6.0,1.0,6.3,1.472352,156.0,13,4,0.0,14.0,2.5,False,7,April,2002
The Scorpion King,Action,True,60.0,165.33318,4.0,5.3,9.488117,92.0,18,22,284.6,646.9201340000001,3.345440313033006,True,15,April,2002
Murder by Numbers,Crime,False,50.0,56.714147,3.0,6.0,9.645801,120.0,26,30,1474.3382230000002,66.684101,1.99996635620915,True,15,April,2002
About a Boy,Drama,False,27.0,129.0,1.0,6.6,10.956665,101.0,33,17,1844.393149,235.483004,3.3384224694871953,True,9,April,2002
Life or Something Like It,Comedy,False,40.0,16.872671,6.0,5.7,6.332398,103.0,12,11,837.7694450000001,627.450869,1.64625693081761,True,21,April,2002
