title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr_rev,director_tr_rev,production_company_tr_roi,English,title_length,rel_month,rel_year
Married to the Mob,Comedy,False,10.0,21.486757,3.0,5.8,5.611184,104.0,25,38,158.331167,13.341891,4.039865421181405,True,15,August,1988
A Nightmare on Elm Street 4: The Dream Master,Horror,True,7.0,72.5,1.0,5.8,8.120317,99.0,29,15,74.79243500000001,0.35470399999999813,4.39364969333515,True,37,August,1988
Hot to Trot,Comedy,False,9.0,6.436211,1.0,5.1,1.99161,88.0,7,15,260.812583,0.0,4.770823737758894,True,9,August,1988
Earth Girls Are Easy,Music,False,10.0,3.916303,3.0,5.5,11.509677,100.0,21,13,203.168795,0.0,1.088880984375,True,17,September,1988
Cocoon: The Return,Comedy,True,17.5,25.024919,2.0,5.4,12.167265,116.0,11,12,66.42366200000001,24.548714999999998,4.801646548701249,True,16,September,1988
The Lair of the White Worm,Comedy,False,2.5,1.189315,1.0,5.8,9.97466,93.0,12,10,0.0,54.436417,1.0,True,21,September,1988
Vampire's Kiss,Comedy,False,2.0,0.7251310000000001,2.0,6.0,3.265426,103.0,16,9,383.610946,0.0,4.63425,True,13,September,1988
Dead Ringers,Drama,False,13.0,8.038508,3.0,7.0,5.5320199999999975,115.0,18,22,81.73973799999999,97.74208999999999,1.0,True,11,September,1988
Apartment Zero,Thriller,False,4.0,0.670774,,6.9,3.927714,124.0,7,4,0.0,0.0,1.0,True,13,September,1988
Felix The Cat: The Movie,Animation,False,9.0,1.964253,2.0,3.7,0.030576,82.0,9,1,0.0,0.0,1.0,True,20,October,1988
Alien Nation,Crime,True,16.0,32.155047,2.0,5.9,15.133316,91.0,12,37,402.63627199999996,20.471382,4.72583878613082,True,11,October,1988
Punchline,Comedy,False,15.0,21.032267,1.0,5.1,5.764399,123.0,47,13,672.0039029999999,8.2,2.550042391098445,True,9,October,1988
Night of the Demons,Horror,True,1.2,3.109904,3.0,6.1,6.942907000000001,90.0,16,9,0.0,0.0,1.0,True,16,October,1988
Halloween 4: The Return of Michael Myers,Horror,True,5.0,17.768757,1.0,5.9,6.199806,88.0,24,9,140.33187900000001,0.0,1.0,True,34,October,1988
Child's Play,Horror,True,9.0,44.19668400000001,1.0,6.3,19.827546,87.0,6,9,24.922239999999995,24.922237000000003,5.845801044468858,True,11,November,1988
A Cry in the Dark,Drama,False,15.0,6.908797,4.0,6.4,3.970538,120.0,13,15,299.17271200000005,41.787007,4.747950509807106,True,13,November,1988
Ernest Saves Christmas,Comedy,True,6.0,28.202109000000004,1.0,4.9,3.590547,95.0,7,1,23.509382,23.509382,9.40303988888889,True,20,November,1988
The Land Before Time,Animation,True,12.3,84.46084599999998,6.0,7.0,13.631352,69.0,8,22,0.0,99.20773499999999,13.323489006478782,True,17,November,1988
Oliver & Company,Animation,False,31.0,74.15134599999998,2.0,6.5,10.813579,74.0,22,17,122.034498,0.0,4.997166245650184,True,14,November,1988
They Live,Action,False,4.0,13.008928,3.0,7.1,11.292364,94.0,47,23,61.433130000000006,236.379669,5.684210465536962,True,8,November,1988
The Naked Gun: From the Files of Police Squad!,Comedy,True,12.0,78.75617700000002,1.0,7.1,15.698222,85.0,21,12,47.74623600000001,0.0,5.769567486867187,True,38,December,1988
Cameron's Closet,Horror,False,7.0,0.136203,1.0,4.8,0.8614729999999999,87.0,8,3,0.0,0.0,1.0,True,15,December,1988
The Adventures of Baron Munchausen,Action,False,46.63,8.083122999999999,4.0,6.9,7.753416,126.0,18,15,4.299999999999999,47.394529,5.179642084659718,True,30,December,1988
Mississippi Burning,Thriller,False,15.0,34.604,1.0,7.4,13.971865,128.0,43,32,653.604913,105.13266800000001,3.9759954542384324,True,18,December,1988
Twins,Comedy,False,15.0,216.614388,1.0,5.7,5.9524940000000015,107.0,52,18,991.706395,380.512467,5.673289249234837,True,5,December,1988
My Stepmother is an Alien,Comedy,False,20.0,13.854,2.0,5.3,6.493525,108.0,11,12,927.801233,99.394296,1.0,True,21,December,1988
Rain Man,Drama,False,25.0,412.8,2.0,7.6,11.267467,133.0,39,58,1306.105465,171.874349,5.833695969530406,True,7,December,1988
Dangerous Liaisons,Drama,False,14.0,34.67072,3.0,7.1,11.46781,119.0,14,12,547.723476,2.451545000000003,1.1779064166666668,True,17,December,1988
Working Girl,Comedy,False,28.0,103.173635,1.0,6.5,8.318954,114.0,20,38,3365.536112,243.90236200000004,4.671128456414619,True,11,December,1988
Talk Radio,Drama,False,4.0,3.468572,2.0,6.7,6.865513000000001,110.0,7,13,38.748395,182.94537,1.0,True,9,December,1988
The Boost,Drama,False,8.0,0.78499,1.0,5.3,0.964399,95.0,6,9,105.736582,35.856053,3.2103551666666665,True,8,December,1988
Hellbound: Hellraiser II,Horror,True,3.0,12.090735,4.0,6.3,8.541732000000001,97.0,25,87,29.128053999999995,0.0,1.7344616669982096,True,22,December,1988
Red Scorpion,Action,False,16.0,4.19244,3.0,4.9,2.549325,105.0,8,9,53.316013000000005,55.793291,1.0,True,11,December,1988
